第一等级：小尺度（第1-200题）,,,
真心话（1-100）,,,
1,你最喜欢什么颜色？,颜色偏好,
2,你最喜欢的动物是什么？,动物,
3,你最喜欢吃什么水果？,食物,
4,你最喜欢的电影类型是什么？,娱乐,
5,你最喜欢的季节是哪个？,生活,
6,你最喜欢什么音乐类型？,娱乐,
7,你最喜欢的明星是谁？,娱乐,
8,你最喜欢的综艺节目是什么？,娱乐,
9,你最喜欢什么运动？,运动,
10,你最喜欢的动漫是什么？,娱乐,
11,你最喜欢的游戏是什么？,娱乐,
12,你最喜欢的城市是哪个？,旅游,
13,你最喜欢的节日是哪个？,生活,
14,你最喜欢的作家是谁？,文化,
15,你最喜欢什么甜点？,食物,
16,你最喜欢的早餐是什么？,食物,
17,你最喜欢的饮料是什么？,食物,
18,你最喜欢什么口味的冰淇淋？,食物,
19,你最喜欢什么鞋子品牌？,购物,
20,你最喜欢什么类型的书？,文化,
21,你最想去哪个国家旅游？,旅游,
22,你最喜欢的童年动画是什么？,娱乐,
23,你最擅长什么学科？,学习,
24,你最不擅长什么学科？,学习,
25,你最喜欢什么类型的笑话？,娱乐,
26,你最喜欢的表情是什么？,社交,
27,你最喜欢什么花？,生活,
28,你最喜欢的星座是什么？,生活,
29,你最怕什么昆虫？,生活,
30,你最怕什么动物？,生活,
31,你最喜欢的姓氏是什么？,文化,
32,你最喜欢的汉字是什么？,文化,
33,你最喜欢的成语是什么？,文化,
34,你最喜欢的歇后语是什么？,文化,
35,你最喜欢的网络用语是什么？,社交,
36,你最常用的app是什么？,科技,
37,你最喜欢的社交软件是什么？,科技,
38,你最喜欢什么类型的短视频？,娱乐,
39,你最常用的手机品牌是什么？,科技,
40,你最喜欢什么咖啡口味？,食物,
41,你最喜欢的茶是什么？,食物,
42,你最喜欢什么牌子的手机？,科技,
43,你最喜欢的电脑品牌是什么？,科技,
44,你最喜欢的耳机品牌是什么？,科技,
45,你最喜欢的香水味道是什么？,生活,
46,你最喜欢的口红颜色是什么？,购物,
47,你最喜欢的衣服风格是什么？,购物,
48,你最喜欢的发型是什么？,生活,
49,你最喜欢的拍照姿势是什么？,社交,
50,你最喜欢的修图软件是什么？,科技,
51,你最喜欢什么类型的电视剧？,娱乐,
52,你最喜欢什么类型的小视频？,娱乐,
53,你最怕什么历史人物？,学习,
54,你最怕什么地理知识？,学习,
55,你最怕什么化学实验？,学习,
56,你最怕什么物理公式？,学习,
57,你最怕什么生物知识？,学习,
58,你最怕什么政治考试？,学习,
59,你最怕什么英语单词？,学习,
60,你最怕什么数学应用题？,学习,
61,你最怕什么语文作文？,学习,
62,你最怕什么体育测试？,运动,
63,你最怕什么音乐考试？,学习,
64,你最怕什么美术课？,学习,
65,你最怕什么信息技术课？,学习,
66,你最怕什么手工课？,学习,
67,你最怕什么烹饪课？,学习,
68,你最怕什么军训？,学习,
69,你最怕什么运动会？,运动,
70,你最怕什么春游？,生活,
71,你最怕什么秋游？,生活,
72,你最怕什么夏令营？,学习,
73,你最怕什么冬令营？,学习,
74,你最怕什么补习班？,学习,
75,你最怕什么兴趣班？,学习,
76,你最怕什么考试？,学习,
77,你最怕什么成绩单？,学习,
78,你最怕什么家长会？,学习,
79,你最怕什么老师？,学习,
80,你最怕什么班主任？,学习,
81,你最怕什么校长？,学习,
82,你最怕什么教导主任？,学习,
83,你最怕什么辅导员？,学习,
84,你最怕什么导师？,学习,
85,你最怕什么老板？,工作,
86,你最怕什么上司？,工作,
87,你最怕什么同事？,工作,
88,你最怕什么客户？,工作,
89,你最怕什么合作伙伴？,工作,
90,你最怕什么投资人？,工作,
91,你最怕什么面试官？,工作,
92,你最怕什么HR？,工作,
93,你最怕什么猎头？,工作,
94,你最怕什么中介？,生活,
95,你最怕什么销售？,生活,
96,你最怕什么客服？,生活,
97,你最怕什么快递员？,生活,
98,你最怕什么外卖员？,生活,
99,你最怕什么出租车司机？,生活,
100,你最怕什么滴滴司机？,生活,
大冒险（101-200）,,,
101,学一种动物叫，让全场猜,模仿,
102,"用方言说""你好""",语言,
103,单脚站立10秒,动作,
104,模仿在场一个人走路,模仿,
105,用左手写你的名字,动作,
106,"用方言说""我爱你""",语言,
107,模仿一种交通工具的声音,模仿,
108,表演一个表情包,表演,
109,原地转圈5圈,动作,
110,用鼻子吸气保持5秒,动作,
111,表演一个卡通人物的动作,表演,
112,模仿一种鸟飞行的样子,模仿,
113,用嘴巴模仿一种乐器声音,模仿,
114,表演一个哭的表情,表演,
115,表演一个笑到肚子疼的表情,表演,
116,用头顶一个东西保持平衡,动作,
117,模仿一个小baby走路,模仿,
118,表演一个生气的表情,表演,
119,用身体摆成一个字母,动作,
120,原地高抬腿10次,运动,
121,学一种狗叫,模仿,
122,模仿一种猫的动作,模仿,
123,表演一个惊讶的表情,表演,
124,用脚趾头夹住笔,动作,
125,含着水不说话5秒,动作,
126,捏着鼻子说话5秒,动作,
127,扮演一个雕塑1分钟,表演,
128,用筷子当眼镜戴在眼睛上,道具,
129,模仿企鹅走路,模仿,
130,表演一个晕倒的表情,表演,
131,双手放在头上做鬼脸,动作,
132,用额头碰额头测体温,动作,
133,表演一个打完电话挂电话的动作,表演,
134,模仿一种机器人的动作,模仿,
135,用卫生纸做一个小帽子戴头上,道具,
136,表演一个打哈欠的表情,表演,
137,双手合十祈祷的动作,动作,
138,模仿一种青蛙跳的动作,模仿,
139,表演一个看到帅哥/美女的表情,表演,
140,用嘴巴模仿汽车喇叭声,模仿,
141,表演一个伸懒腰的动作,动作,
142,模仿一种熊走路的样子,模仿,
143,表演一个打喷嚏的表情,表演,
144,用身体摆成一个数字,动作,
145,模仿一种兔子蹦跳的动作,模仿,
146,表演一个无奈的表情,表演,
147,用头写你的名字（空中）,动作,
148,模仿一种鸭子走路的样子,模仿,
149,学一种猪叫的声音,模仿,
150,模仿一种羊叫的声音,模仿,
151,表演一个发呆的表情,表演,
152,用手模仿鱼游泳的动作,模仿,
153,模仿一种蛇爬行的样子,模仿,
154,表演一个打嗝的表情,表演,
155,用身体模仿时钟摇摆,动作,
156,模仿一种乌龟爬行的动作,模仿,
157,表演一个流口水的表情,表演,
158,用身体模仿海浪起伏,动作,
159,模仿一种袋鼠跳的动作,模仿,
160,表演一个流汗的表情,表演,
161,用身体模仿游泳的动作,运动,
162,模仿一种狐狸走路的动作,模仿,
163,表演一个揉鼻子的动作,动作,
164,用身体模仿荡秋千,动作,
165,模仿一种小鸡啄米的动作,模仿,
166,表演一个咬东西的动作,动作,
167,用身体模仿跳远的动作,运动,
168,模仿一种骆驼走路的动作,模仿,
169,表演一个擤鼻涕的动作,动作,
170,用身体模仿做早操,运动,
171,模仿一种大象甩鼻子的动作,模仿,
172,表演一个眨眼睛的动作,动作,
173,用身体模仿开车的动作,动作,
174,模仿一种斑马跑的动作,模仿,
175,表演一个咳嗽的动作,动作,
176,模仿一种豹子跑的动作,模仿,
177,表演一个揉眼睛的动作,动作,
178,用身体模仿搬东西,动作,
179,模仿一种骏马跑的动作,模仿,
180,表演一个打哈欠的动作,动作,
181,模仿一种小狗摇尾巴的动作,模仿,
182,表演一个惊讶的张大嘴巴,表演,
183,用身体模仿划船的动作,动作,
184,模仿一种老虎走路的动作,模仿,
185,表演一个满意的点头,动作,
186,用身体模仿跳绳,运动,
187,模仿一种考拉抱树的动作,模仿,
188,表演一个伸舌头的动作,动作,
189,模仿一种熊猫滚动的动作,模仿,
190,表演一个摇头晃脑的动作,动作,
191,用身体模仿打太极,运动,
192,模仿一种丹顶鹤站立的动作,模仿,
193,表演一个撅嘴巴的动作,动作,
194,模仿一种毛毛虫蠕动的动作,模仿,
195,表演一个摸头发的动作,动作,
196,模仿一种螃蟹横着走,模仿,
197,表演一个抖肩膀的动作,动作,
198,模仿一种骏马奔腾的动作,模仿,
199,表演一个扭腰的动作,动作,
200,模仿一种蛇S型爬行,模仿,
,,,
第二等级：中尺度（第201-380题）,,,
真心话（201-280）,,,
201,你做过最尴尬的事是什么？,社交,
202,你偷偷删过别人的微信吗？,社交,
203,你最怕什么虫子？,生活,
204,你有没有在公共场所哭过？,情感,
205,你最怕什么检查？,生活,
206,你有没有上课/上班偷偷睡觉？,学习/工作,
207,你最怕什么交通工具？,生活,
208,你有没有装病请假过？,学习/工作,
209,你最怕什么颜色？,生活,
210,你有没有在图书馆/电影院睡着？,生活,
211,你最怕什么味道？,生活,
212,你有没有吃饭吧唧嘴被说过？,生活,
213,你最怕什么天气？,生活,
214,你有没有放屁很响被发现？,生活,
215,你最怕什么类型的电影？,娱乐,
216,你有没有偷偷借过东西忘记还？,生活,
217,你最怕什么节日？,生活,
218,你有没有在外面尿裤子？,生活,
219,你最怕什么水果？,食物,
220,你有没有把别人的东西弄坏？,生活,
221,你最怕什么动物？,生活,
222,你有没有上课传纸条被抓？,学习,
223,你最怕什么噪音？,生活,
224,你有没有假装没看到消息？,社交,
225,你最怕什么亲密行为？,情感,
226,你有没有在电梯里放屁？,生活,
227,你最怕什么虫类？,生活,
228,你有没有说梦话被发现？,生活,
229,你最怕什么运动？,运动,
230,你有没有挖鼻屎被发现？,生活,
231,你最怕什么食物？,食物,
232,你有没有在公交/地铁上睡着坐过站？,生活,
233,你最怕什么类型的异性？,情感,
234,你有没有在公共场所跌倒？,生活,
235,你最怕什么电视剧情节？,娱乐,
236,你有没有认错人很尴尬？,社交,
237,你最怕什么音乐类型？,娱乐,
238,你有没有在ktv跑调被发现？,娱乐,
239,你最怕什么职业？,工作,
240,你有没有偷偷用过别人的东西？,生活,
241,你最怕什么数学题？,学习,
242,你有没有打电话给错人？,社交,
243,你最怕什么歌词？,娱乐,
244,你有没有发错朋友圈分组？,社交,
245,你最怕什么星座的人？,生活,
246,你有没有在评论区说错话被喷？,社交,
247,你最怕什么游戏类型？,娱乐,
248,你有没有走路撞到玻璃/柱子？,生活,
249,你最怕什么语言？,学习,
250,你有没有忘记重要纪念日？,情感,
251,你最怕什么相亲对象？,情感,
252,你有没有在约会时睡着？,情感,
253,你最怕什么前任？,情感,
254,你有没有被父母发现谈恋爱？,情感,
255,你最怕什么分手方式？,情感,
256,你有没有在社交软件上装单身？,情感,
257,你最怕什么暗恋对象？,情感,
258,你有没有追人失败的经历？,情感,
259,你最怕什么告白方式？,情感,
260,你有没有被发好人卡？,情感,
261,你最怕什么约会地点？,情感,
262,你有没有在约会时打电话？,情感,
263,你最怕什么恋爱纪念日？,情感,
264,你有没有忘记女朋友生日？,情感,
265,你最怕什么女朋友/男朋友查手机？,情感,
266,你有没有删聊天记录被发现？,情感,
267,你最怕什么分手理由？,情感,
268,你有没有无缝衔接？,情感,
269,你最怕什么恋爱对象？,情感,
270,你有没有脚踏两只船？,情感,
271,你最怕什么婚姻生活？,情感,
272,你有没有假装很恩爱？,情感,
273,你最怕什么婆媳关系？,家庭,
